season,pos,trb_percent,ast_percent,usg_percent
2025,C,15.5,6.2,14.9
2025,C,21.9,10.9,13.6
2025,C,15.5,20,23.5
2025,SG,7.5,7.9,14.6
2025,PF,13.3,15.2,18.5
2025,SG,7.1,15,16
2025,SG,7,12.5,17.6
2025,C,18.8,9.5,15.9
2025,PG,5.4,27.3,19.8
2025,PF,11.2,20.7,15.9
2025,PF,10.9,21.2,15.7
2025,SF,11.5,20.1,16.1
2025,PF,19,36,35.2
2025,PG,9.5,25.5,24.6
2025,PF,7.6,8.5,19.7
2025,SF,13.1,19.9,23.2
2025,C,18.2,8.5,19.4
2025,SF,15.7,5.5,13.8
2025,PG,8.2,43.8,35.9
2025,PG,8,18.9,15.9
2025,C,19.7,6,15.2
2025,C,19.3,6.3,16.5
2025,C,22.1,4.2,7.5
2025,PF,12.5,26,33.6
2025,SG,10,23.6,23.3
2025,PG,6.5,21.5,24.1
2025,PF,7.4,8.6,15.7
2025,PF,12.6,27.7,27
2025,SF,10.5,27.3,28.7
2025,SF,8.1,7.1,15.3
2025,PF,9,7.8,9
2025,SG,7.2,22.2,19.3
2025,SG,5.8,17.6,22.1
2025,SG,5.2,8.9,22.5
2025,PG,4.7,19.1,12.8
2025,PG,4.6,18.9,12.8
2025,C,18.6,14.8,14.3
2025,C,16,7.9,12.3
2025,PG,7,19.4,19.6
2025,SG,6.6,15.2,18.7
2025,SG,6,10.8,18.9
2025,SG,7,18.7,18.6
2025,PF,13,7.7,21.1
2025,C,15.3,4.4,14.3
2025,SG,6.1,30.6,29.3
2025,SG,7.3,13.7,20
2025,PF,13.9,5.9,21.2
2025,PG,4.4,20.8,16
2025,SG,8.4,10.1,15.8
2025,SF,4.9,14.4,19.6
2025,PF,12.6,21.7,28
2025,SF,8.8,4.1,16.3
2025,PG,8.4,27.4,23.7
2025,SF,6.1,7.4,17.7
2025,SF,9.4,5.7,17.1
2025,PG,9.6,12.8,17.2
2025,PG,10.3,11.3,19.3
